name,brief_description,full_description,price_range,categories,occasions,recipient_types,purchase_url,has_affiliate_commission,popularity_score
Padres Tickets,"Tickets to a San Diego Padres game","San Diego Padres tickets at Petco park. They will never win the World Series, but at least the weather will be nice!",premium,"baseball,sports","christmas,birthdays","baseball fans, san diego people",https://www.mlb.com/padres/tickets,true,0.95
Kindle Paperwhite,"Waterproof e-reader with weeks of battery life","The latest Kindle Paperwhite features a 6.8-inch display, adjustable warm light, and up to 10 weeks of battery life. Waterproof design for reading by the pool or in the bath.",moderate,"electronics,books,reading","birthday,christmas,graduation","book lovers,travelers,commuters",https://www.amazon.com/kindle-paperwhite,true,0.91
Yeti Rambler Tumbler,"Insulated stainless steel tumbler","30oz vacuum-insulated tumbler keeps drinks hot or cold for hours. Durable stainless steel with MagSlider lid. Dishwasher safe.",moderate,"drinkware,outdoor,kitchen","birthday,father's day,christmas","outdoor enthusiasts,coffee lovers,commuters",https://www.yeti.com/drinkware/tumblers,true,0.87
Nintendo Switch,"Versatile gaming console for home and travel","Hybrid gaming console that works on TV or as a portable device. Play solo or multiplayer games anywhere. Includes two Joy-Con controllers.",premium,"electronics,gaming,entertainment","birthday,christmas,graduation","gamers,families,kids",https://www.nintendo.com/switch,true,0.94
Dyson Airwrap,"Multi-styler for curls, waves, and smooth blowouts","Revolutionary hair styler that uses air to curl, wave, smooth, and dry hair. Includes multiple attachments for different styles. Engineered for all hair types.",luxury,"beauty,hair,electronics","birthday,christmas,mother's day","beauty enthusiasts,professionals,gift for her",https://www.dyson.com/hair-care/dyson-airwrap,true,0.89
Le Creuset Dutch Oven,"Enameled cast iron French oven","Iconic 5.5-quart Dutch oven perfect for slow-cooking, braising, and baking. Even heat distribution with superior heat retention. Lifetime warranty.",luxury,"kitchen,cookware,home","wedding,housewarming,christmas","home cooks,foodies,newlyweds",https://www.lecreuset.com/dutch-ovens,true,0.88
Sonos One Speaker,"Smart speaker with rich sound","Compact smart speaker with Amazon Alexa or Google Assistant built-in. Rich, room-filling sound. Pair two for stereo separation.",premium,"electronics,audio,smart home","birthday,housewarming,christmas","music lovers,tech enthusiasts,audiophiles",https://www.sonos.com/shop/one,true,0.86
Theragun Mini,"Portable percussion massage device","Ultra-quiet portable massage gun for muscle relief on the go. Three speed settings, 150-minute battery life. Perfect for post-workout recovery.",premium,"fitness,wellness,recovery","birthday,father's day,christmas","athletes,fitness enthusiasts,busy professionals",https://www.therabody.com/theragun-mini,true,0.84
Apple AirPods Pro,"Premium wireless earbuds with noise cancellation","Active noise cancellation, transparency mode, and spatial audio. Sweat and water resistant. Up to 6 hours of listening time.",premium,"electronics,audio,apple","birthday,christmas,graduation","apple users,music lovers,commuters",https://www.apple.com/airpods-pro,true,0.93
Brooklinen Linen Sheets,"Luxurious Belgian linen bedding","100% Belgian flax linen sheets that get softer with every wash. Temperature regulating and moisture-wicking. Available in multiple colors.",luxury,"home,bedding,bedroom","wedding,housewarming,birthday","couples,home decorators,hot sleepers",https://www.brooklinen.com/collections/linen-sheets,true,0.82
MasterClass Annual Subscription,"Learn from world-class experts","Unlimited access to classes taught by celebrities and experts in cooking, writing, music, and more. Over 180 classes available.",premium,"education,entertainment,subscription","birthday,graduation,christmas","lifelong learners,hobbyists,professionals",https://www.masterclass.com,true,0.85
Oura Ring,"Smart ring for health tracking","Tracks sleep, activity, and readiness with incredible accuracy. Sleek titanium design. 7-day battery life.",luxury,"fitness,wearable,health","birthday,anniversary,christmas","health enthusiasts,athletes,biohackers",https://ouraring.com,true,0.81
Patagonia Better Sweater,"Classic fleece jacket for everyday wear","100% recycled polyester fleece with Fair Trade Certified sewn. Versatile for layering or wearing alone. Zippered handwarmer pockets.",moderate,"clothing,outdoor,sustainable","birthday,christmas,father's day","outdoor enthusiasts,environmentalists,anyone",https://www.patagonia.com/product/better-sweater-jacket,true,0.86
Stanley Quencher,"40oz insulated tumbler with handle","The viral tumbler that keeps drinks cold for 11 hours. Features comfortable handle and fits most cup holders. Splashproof lid.",moderate,"drinkware,outdoor,kitchen","birthday,just because,christmas","everyone,hydration enthusiasts,commuters",https://www.stanley1913.com/quencher,true,0.90
Ember Mug,"Temperature-controlled smart mug","Keeps your coffee or tea at the perfect temperature for up to 1.5 hours. App-controlled with LED indicator. 14oz capacity.",premium,"kitchen,tech,coffee","birthday,christmas,housewarming","coffee lovers,tea enthusiasts,remote workers",https://ember.com,true,0.79
Lego Architecture Set,"Detailed building sets of famous landmarks","Build iconic structures like the Eiffel Tower, Empire State Building, or Taj Mahal. Perfect for display after completion.",moderate,"toys,hobbies,collectibles","birthday,christmas,graduation","architecture lovers,hobbyists,adults",https://www.lego.com/themes/architecture,true,0.83
Allbirds Wool Runners,"Sustainable and comfortable everyday sneakers","Made from merino wool for natural comfort and odor resistance. Carbon-neutral and machine washable.",moderate,"shoes,sustainable,fashion","birthday,christmas,just because","eco-conscious,comfort seekers,minimalists",https://www.allbirds.com/products/womens-wool-runners,true,0.84
KitchenAid Stand Mixer,"Iconic countertop mixer for baking","5-quart tilt-head stand mixer with 10 speeds. Includes flat beater, dough hook, and wire whip. Available in 40+ colors.",premium,"kitchen,baking,appliances","wedding,housewarming,christmas","bakers,home cooks,newlyweds",https://www.kitchenaid.com/stand-mixers,true,0.91
Hydro Flask Water Bottle,"Insulated stainless steel water bottle","TempShield insulation keeps drinks cold 24 hours or hot 12 hours. Durable powder-coated finish. BPA-free.",moderate,"drinkware,outdoor,fitness","birthday,graduation,just because","athletes,students,outdoor enthusiasts",https://www.hydroflask.com,true,0.87
Bose QuietComfort Earbuds,"Wireless noise-cancelling earbuds","World-class noise cancellation in a comfortable earbud design. Up to 6 hours battery life. IPX4 water resistant.",premium,"electronics,audio,travel","birthday,christmas,graduation","commuters,travelers,music lovers",https://www.bose.com/quietcomfort-earbuds,true,0.88
Away Carry-On,"Durable hardside luggage with built-in battery","Polycarbonate shell with 360-degree spinner wheels. Interior compression system and hidden laundry bag. Lifetime warranty.",premium,"travel,luggage,accessories","birthday,graduation,christmas","frequent travelers,professionals,students",https://www.awaytravel.com/luggage/carry-on,true,0.85
Peloton App Membership,"Fitness classes without the bike","Access thousands of classes including strength, yoga, meditation, running, and more. No equipment required for many classes.",moderate,"fitness,subscription,wellness","birthday,new year,just because","fitness enthusiasts,busy professionals,beginners",https://www.onepeloton.com/app,true,0.82
Vitamix Blender,"Professional-grade high-speed blender","Variable speed control and pulse feature. Makes smoothies, soups, nut butters, and more. 10-year warranty.",luxury,"kitchen,appliances,healthy living","wedding,housewarming,birthday","health enthusiasts,home cooks,smoothie lovers",https://www.vitamix.com,true,0.87
Moleskine Classic Notebook,"Iconic Italian-designed notebook","Hardcover with elastic closure and bookmark ribbon. Acid-free paper, 240 pages. Available in ruled, blank, or dotted.",budget,"stationery,office,writing","birthday,graduation,just because","writers,students,professionals",https://www.moleskine.com/notebooks,true,0.78
Peak Design Everyday Backpack,"Versatile camera and travel backpack","Weatherproof 20L or 30L bag with innovative dividers. Works for photography, travel, or everyday carry. Lifetime warranty.",premium,"bags,photography,travel","birthday,christmas,graduation","photographers,travelers,professionals",https://www.peakdesign.com/everyday-backpack,true,0.84
Bala Bangles,"Stylish wearable weights","1-pound wrist or ankle weights with velcro closure. Add resistance to any workout. Available in multiple colors.",moderate,"fitness,accessories,wellness","birthday,mother's day,christmas","fitness enthusiasts,yoga practitioners,pilates lovers",https://www.shopbala.com,true,0.76
Rifle Paper Co Calendar,"Beautiful illustrated wall calendar","12-month wall calendar featuring original illustrations. Printed on high-quality paper. Makes a great gift for art lovers.",budget,"stationery,home decor,art","christmas,new year,birthday","art lovers,planners,home decorators",https://riflepaperco.com/calendars,true,0.74
Uncommon Goods Personalized Star Map,"Custom night sky poster from any date and location","Shows the exact star alignment from a special moment - wedding, birth, anniversary. Museum-quality archival paper.",moderate,"home decor,personalized,gifts","wedding,anniversary,baby shower","romantics,couples,new parents",https://www.uncommongoods.com/product/custom-star-map,true,0.81
Carhartt Beanie,"Classic knit winter hat","Acrylic rib-knit beanie with fold-up cuff. Stretchable for comfortable fit. Iconic Carhartt patch.",budget,"clothing,accessories,winter","christmas,birthday,father's day","outdoor workers,hipsters,cold weather people",https://www.carhartt.com/beanies,true,0.79
Gravity Blanket,"Weighted blanket for better sleep","15-20 pounds of evenly distributed weight promotes relaxation. Soft fleece exterior. Machine washable.",moderate,"home,sleep,wellness","birthday,christmas,housewarming","anxiety sufferers,insomniacs,comfort seekers",https://gravityblankets.com,true,0.80
Cards Against Humanity,"Adult party game for horrible people","Fill-in-the-blank card game for 4-20+ players. 600 cards in the base set. Not suitable for children.",budget,"games,party,entertainment","birthday,white elephant,just because","party hosts,friends groups,young adults",https://www.cardsagainsthumanity.com,true,0.85
Tile Pro,"Bluetooth tracker for finding lost items","Powerful Bluetooth tracker with 400ft range. Water-resistant. 1-year replaceable battery. Works with Apple and Android.",moderate,"electronics,accessories,tech","birthday,christmas,just because","forgetful people,travelers,parents",https://www.tile.com/product/tile-pro,true,0.77
Instant Pot Duo,"Multi-functional electric pressure cooker","7-in-1 appliance: pressure cooker, slow cooker, rice cooker, steamer, sauté pan, food warmer, and yogurt maker. 6-quart capacity.",moderate,"kitchen,appliances,cooking","wedding,housewarming,christmas","busy families,meal preppers,home cooks",https://www.instantpot.com,true,0.88
Cotopaxi Del Día Backpack,"Colorful one-of-a-kind sustainable backpack","Each bag features unique colorways made from repurposed fabric. Durable and water-resistant. Supports global poverty reduction.",moderate,"bags,sustainable,outdoor","birthday,graduation,christmas","eco-conscious,travelers,students",https://www.cotopaxi.com/del-dia,true,0.79
Aesop Resurrection Hand Wash,"Luxury botanical hand soap","Aromatic hand wash with mandarin rind and rosemary leaf. Gentle on hands while effectively cleansing. 500ml pump bottle.",moderate,"beauty,home,luxury","housewarming,hostess,birthday","design lovers,home decorators,beauty enthusiasts",https://www.aesop.com/hand-wash,true,0.75
Fujifilm Instax Mini,"Instant camera for fun polaroid-style photos","Easy-to-use instant camera with automatic exposure. Credit card-sized photos develop in 90 seconds. Multiple color options.",moderate,"photography,electronics,fun","birthday,christmas,graduation","photographers,party lovers,teens",https://www.fujifilm.com/instax,true,0.83
Chemex Pour-Over Coffeemaker,"Elegant pour-over coffee brewing","Iconic hourglass design for brewing smooth, rich coffee. Made of non-porous borosilicate glass. 6-cup capacity.",moderate,"coffee,kitchen,design","birthday,housewarming,christmas","coffee lovers,design enthusiasts,home baristas",https://www.chemexcoffeemaker.com,true,0.80
Apple Watch,"Smartwatch for health and connectivity","Advanced health monitoring including heart rate, ECG, and blood oxygen. Fitness tracking, notifications, and apps. Water resistant.",luxury,"electronics,fitness,wearable","birthday,christmas,graduation","apple users,fitness enthusiasts,tech lovers",https://www.apple.com/watch,true,0.92
Beardbrand Beard Oil,"Premium beard grooming oil","Natural ingredients moisturize beard and skin underneath. Light hold and subtle scent. 1oz bottle lasts 1-2 months.",budget,"grooming,men,beard","birthday,father's day,christmas","bearded men,groomers,hipsters",https://www.beardbrand.com/beard-oil,true,0.73
Bombas Socks,"Comfortable socks with social mission","Honeycomb arch support and seamless toe. For every pair purchased, a pair is donated. Multiple styles available.",moderate,"clothing,accessories,charitable","birthday,christmas,just because","comfort seekers,philanthropists,athletes",https://www.bombas.com,true,0.82
Crosley Record Storage Crate,"Wooden crate for vinyl storage","Solid wood construction holds approximately 40 albums. Stackable design. Perfect companion to any turntable.",budget,"music,home,storage","birthday,christmas,housewarming","vinyl collectors,music lovers,retro enthusiasts",https://www.crosleyradio.com/record-storage,true,0.71
Solo Stove Bonfire,"Portable smokeless fire pit","Patented airflow design creates a smokeless fire. Stainless steel construction. Perfect for backyard gatherings.",premium,"outdoor,camping,home","father's day,birthday,christmas","outdoor enthusiasts,homeowners,campers",https://www.solostove.com/bonfire,true,0.85
Homesick Candles,"Candles that smell like home states","Scents inspired by all 50 states and cities. All-natural soy wax blend. 60-80 hour burn time.",moderate,"home,candles,gifts","housewarming,birthday,holidays","nostalgic people,new movers,home decorators",https://homesick.com,true,0.77
Tushy Bidet Attachment,"Modern bidet for any toilet","Easy DIY installation in under 10 minutes. Adjustable pressure control. Eco-friendly alternative to toilet paper.",moderate,"home,bathroom,sustainable","housewarming,gag gift,just because","eco-conscious,hygiene enthusiasts,homeowners",https://www.hellotushy.com,true,0.74
Herschel Supply Backpack,"Classic and functional everyday backpack","Signature striped fabric liner with 15-inch laptop sleeve. Multiple pockets for organization. Durable construction.",moderate,"bags,fashion,school","back to school,birthday,graduation","students,commuters,travelers",https://herschel.com/backpacks,true,0.81
Otterbox Phone Case,"Rugged protection for smartphones","Multi-layer defense against drops, bumps, and scratches. Slim design with port covers. Lifetime warranty.",moderate,"electronics,accessories,protection","birthday,just because,christmas","clumsy people,outdoor enthusiasts,parents",https://www.otterbox.com,true,0.80
Great Jones Cookware Set,"Colorful ceramic non-stick cookware","5-piece set includes Dutch oven, saucepan, saute pan, and fry pan. Non-toxic ceramic coating. Beautiful enough to display.",premium,"kitchen,cookware,home","wedding,housewarming,birthday","home cooks,design lovers,newlyweds",https://www.greatjonesgoods.com,true,0.78
Meural Canvas,"Digital frame for displaying art","27-inch display shows museum-quality artwork from major collections. Gesture control and ambient light sensor.",luxury,"art,electronics,home decor","wedding,housewarming,birthday","art lovers,tech enthusiasts,home decorators",https://www.netgear.com/meural,true,0.72
Lodge Cast Iron Skillet,"Pre-seasoned American-made cast iron","12-inch skillet ready to use out of the box. Unparalleled heat retention. Lasts for generations.",budget,"kitchen,cookware,camping","wedding,housewarming,christmas","home cooks,campers,traditionalists",https://www.lodgecastiron.com,true,0.86
Cricut Maker,"Smart cutting machine for crafts","Cuts 300+ materials including fabric, leather, and balsa wood. Bluetooth connectivity. Works with design software.",premium,"crafts,DIY,hobbies","birthday,christmas,mother's day","crafters,DIY enthusiasts,small business owners",https://www.cricut.com/maker,true,0.79
Philips Hue Starter Kit,"Smart color-changing light bulbs","Four smart bulbs with hub. 16 million colors and white temperatures. Voice control compatible.",premium,"smart home,lighting,tech","housewarming,birthday,christmas","tech enthusiasts,renters,home decorators",https://www.philips-hue.com,true,0.84
Osprey Daylite Backpack,"Lightweight everyday hiking pack","20L capacity with padded laptop sleeve. Breathable mesh back panel. Multiple organizational pockets.",moderate,"outdoor,hiking,bags","birthday,christmas,graduation","hikers,commuters,students",https://www.osprey.com/daylite,true,0.82
Manscaped Lawn Mower,"Electric body groomer for men","SkinSafe technology prevents nicks and cuts. Waterproof for shower use. LED spotlight for precision.",moderate,"grooming,men,electronics","birthday,father's day,christmas","men,groomers,fitness enthusiasts",https://www.manscaped.com,true,0.76
Fellow Stagg EKG Kettle,"Pour-over kettle with temperature control","Precision pour spout with variable temperature control. Minimalist design with LCD display. 0.9L capacity.",premium,"coffee,kitchen,design","birthday,housewarming,christmas","coffee enthusiasts,tea lovers,design lovers",https://fellowproducts.com/stagg-ekg,true,0.81
Anker PowerCore Battery Pack,"Portable charger for devices","20,000mAh capacity charges iPhone 4-5 times. Dual USB ports for simultaneous charging. Compact and travel-friendly.",moderate,"electronics,travel,accessories","birthday,graduation,just because","travelers,students,professionals",https://www.anker.com/powercore,true,0.83
Brooklinen Super-Plush Robe,"Luxuriously soft Turkish cotton robe","680 GSM Turkish cotton with shawl collar. Pockets and matching belt. Gets softer with every wash.",premium,"home,clothing,luxury","birthday,anniversary,christmas","anyone,couples,spa lovers",https://www.brooklinen.com/products/super-plush-robe,true,0.79
Our Place Always Pan,"Multi-functional non-stick pan","Replaces 8 pieces of cookware: fry pan, saute pan, steamer, and more. Non-toxic ceramic coating.",moderate,"kitchen,cookware,design","wedding,housewarming,birthday","minimalists,home cooks,design lovers",https://fromourplace.com/always-pan,true,0.84
Godiva Chocolate Tower,"Assorted premium chocolates in gift tower","Multi-tier gift box featuring truffles, caramels, and solid chocolates. Impressive presentation for special occasions.",premium,"food,chocolate,gifts","christmas,thank you,birthday","chocolate lovers,corporate gifts,hostess gifts",https://www.godiva.com,true,0.77
REI Co-op Camp Chair,"Comfortable folding camping chair","Sturdy steel frame supports up to 300 lbs. Cup holder and side pocket. Includes carry bag.",moderate,"outdoor,camping,furniture","father's day,birthday,christmas","campers,tailgaters,outdoor enthusiasts",https://www.rei.com/camp-chairs,true,0.78
Baggu Reusable Bags,"Colorful ripstop nylon shopping bags","Holds 2-3 plastic bags worth. Folds into built-in pouch. Machine washable. Fun patterns and colors.",budget,"sustainable,bags,kitchen","birthday,just because,stocking stuffer","eco-conscious,shoppers,minimalists",https://www.baggu.com,true,0.76
Death Wish Coffee,"World's strongest coffee beans","Bold flavor with high caffeine content. USDA certified organic and Fair Trade. Whole bean or ground.",budget,"food,coffee,unique","birthday,christmas,gag gift","coffee addicts,night shift workers,students",https://www.deathwishcoffee.com,true,0.75
Nanoleaf Light Panels,"Modular smart LED light panels","Create custom layouts on your wall. 16 million colors with music sync. Voice control compatible.",premium,"smart home,lighting,decor","birthday,christmas,housewarming","gamers,tech enthusiasts,content creators",https://nanoleaf.me,true,0.80
Rocketbook Smart Notebook,"Reusable notebook with cloud connectivity","Write, scan with app, then wipe clean to reuse. Includes Pilot Frixion pen. Works with Google Drive, Dropbox, and more.",moderate,"office,sustainable,tech","graduation,birthday,just because","students,note-takers,eco-conscious",https://getrocketbook.com,true,0.77
Purple Pillow,"Unique grid technology pillow","No-pressure support adapts to your head and neck. Stays cool all night. Hypoallergenic.",premium,"home,sleep,wellness","birthday,christmas,housewarming","hot sleepers,neck pain sufferers,side sleepers",https://purple.com/pillows,true,0.78
Burt's Bees Gift Set,"Natural lip and skin care collection","Assorted lip balms, hand creams, and skin treatments. 100% natural ingredients. Gift-ready packaging.",budget,"beauty,skincare,gifts","christmas,birthday,stocking stuffer","beauty lovers,natural enthusiasts,anyone",https://www.burtsbees.com,true,0.74
Wyze Cam,"Affordable smart home security camera","1080p HD video with night vision. Motion and sound detection. Two-way audio. Cloud and local storage.",budget,"smart home,security,tech","housewarming,birthday,christmas","homeowners,renters,pet owners",https://www.wyze.com/cam,true,0.81
Casper Glow Light,"Smart light for better sleep","Gradually dims to help you fall asleep. Portable and rechargeable. Flip to snooze or turn off.",premium,"home,sleep,tech","birthday,housewarming,christmas","insomniacs,tech lovers,parents",https://casper.com/glow,true,0.72
Celestron Travel Scope,"Portable telescope for stargazing","70mm refractor telescope with smartphone adapter. Includes backpack for transport. Great for beginners.",moderate,"outdoor,science,hobbies","birthday,christmas,graduation","space enthusiasts,kids,travelers",https://www.celestron.com/travel-scope,true,0.76
Corkcicle Wine Chiller,"Keeps wine cold without ice","Insert into bottle to chill wine from the inside. No dilution. Built-in pour spout.",budget,"kitchen,wine,entertaining","housewarming,hostess,birthday","wine lovers,entertainers,gift givers",https://corkcicle.com,true,0.73
Lovepop Cards,"3D pop-up greeting cards","Intricate laser-cut paper art that pops up when opened. Various designs for all occasions. Comes with envelope.",budget,"stationery,gifts,cards","birthday,thank you,wedding","card senders,gift givers,art appreciators",https://www.lovepopcards.com,true,0.75
TraegerGrill,"Wood pellet smoker and grill","WiFi-enabled temperature control. Set it and forget it smoking. Versatile for grilling, smoking, baking, and more.",luxury,"outdoor,cooking,BBQ","father's day,birthday,christmas","grill masters,BBQ enthusiasts,outdoor cooks",https://www.traegergrills.com,true,0.85
Pura Smart Diffuser,"App-controlled home fragrance system","Switch between two scents via app. Schedule fragrances throughout the day. Nightlight feature.",moderate,"home,fragrance,smart home","housewarming,birthday,christmas","home decorators,tech enthusiasts,scent lovers",https://www.trypura.com,true,0.74
Otherland Candles,"Luxury scented candles with beautiful design","Hand-poured coconut-soy wax in designer vessels. 55-hour burn time. Unique and complex scents.",moderate,"home,candles,luxury","birthday,housewarming,hostess","design lovers,home decorators,candle collectors",https://www.otherland.com,true,0.76
Nintendo Switch Game,"Popular video game titles","Choose from hits like Zelda, Mario Kart, Animal Crossing, or Pokemon. Physical or digital delivery.",moderate,"gaming,entertainment,electronics","birthday,christmas,graduation","gamers,Nintendo fans,families",https://www.nintendo.com/games,true,0.86
Havaianas Flip Flops,"Classic Brazilian rubber sandals","Comfortable rubber thong sandals in endless colors. Lightweight and durable. Perfect for beach or casual wear.",budget,"shoes,summer,beach","birthday,just because,vacation","beachgoers,casual dressers,travelers",https://www.havaianas.com,true,0.77
Ring Video Doorbell,"Smart doorbell with HD video","1080p HD video with two-way talk. Motion detection alerts. Night vision. Works with Alexa.",moderate,"smart home,security,electronics","housewarming,christmas,birthday","homeowners,security conscious,tech enthusiasts",https://ring.com/video-doorbells,true,0.85
Swell Water Bottle,"Insulated stainless steel bottle","Keeps drinks cold 24 hours, hot 12 hours. Triple-layered vacuum insulation. Condensation-free exterior.",moderate,"drinkware,sustainable,fashion","birthday,graduation,just because","eco-conscious,stylish people,hydration enthusiasts",https://www.swell.com,true,0.79
Exploding Kittens,"Strategic card game for all ages","Easy to learn, quick to play. Family-friendly. Created by The Oatmeal cartoonist. 2-5 players.",budget,"games,family,entertainment","birthday,christmas,game night","families,game lovers,party hosts",https://www.explodingkittens.com,true,0.82
Brooklinen Luxe Core Sheet Set,"Buttery soft long-staple cotton sheets","480 thread count with sateen weave. Gets softer with every wash. Fits mattresses up to 15 inches.",premium,"home,bedding,bedroom","wedding,housewarming,birthday","couples,sleep enthusiasts,home decorators",https://www.brooklinen.com/luxe-sheets,true,0.84
Fjallraven Kanken Backpack,"Classic Swedish outdoor backpack","Water-resistant Vinylon fabric. Padded laptop sleeve. Iconic square design in 40+ colors.",moderate,"bags,fashion,outdoor","back to school,birthday,graduation","students,travelers,fashion lovers",https://www.fjallraven.com/kanken,true,0.83
Blue Apron Gift Card,"Meal kit delivery subscription","Pre-portioned ingredients with chef-designed recipes. Multiple plan options. No commitment required.",moderate,"food,subscription,cooking","birthday,housewarming,thank you","busy professionals,home cooks,couples",https://www.blueapron.com/gifts,true,0.76
Garmin Fitness Tracker,"GPS fitness smartwatch","Built-in GPS with heart rate monitoring. Battery lasts up to 7 days. Water resistant to 50m.",premium,"fitness,electronics,wearable","birthday,christmas,graduation","athletes,runners,fitness enthusiasts",https://www.garmin.com/fitness,true,0.85
Uncommon Goods Whiskey Stones,"Soapstone cubes that chill drinks","Set of 9 stones in wooden tray. Chill whiskey without dilution. Made from natural soapstone.",budget,"bar,drinkware,gifts","birthday,father's day,groomsmen","whiskey lovers,cocktail enthusiasts,men",https://www.uncommongoods.com/whiskey-stones,true,0.72
Beats Solo Headphones,"Wireless on-ear headphones","Up to 40 hours of battery life. Fast Fuel charging. Apple W1 chip for easy pairing.",premium,"electronics,audio,fashion","birthday,christmas,graduation","music lovers,commuters,fashion conscious",https://www.beatsbydre.com,true,0.84
Terracotta Pot Set,"Classic clay planters for indoor plants","Set of 3 pots with drainage holes and saucers. Natural terra cotta finish. Various sizes.",budget,"gardening,home,plants","housewarming,birthday,mother's day","plant parents,gardeners,home decorators",https://www.terrain.com,true,0.70
Tineco Vacuum,"Cordless smart vacuum cleaner","Auto-adjusting suction power. LCD display shows battery and dirt level. HEPA filtration.",premium,"home,cleaning,electronics","housewarming,wedding,christmas","homeowners,clean freaks,pet owners",https://www.tineco.com,true,0.79
Crate and Barrel Wine Rack,"Modern wine storage rack","Holds 18 bottles in geometric design. Iron construction with brass finish. Wall-mounted or freestanding.",moderate,"home,bar,storage","housewarming,wedding,birthday","wine collectors,entertainers,home decorators",https://www.crateandbarrel.com/wine-racks,true,0.74
National Park Pass,"Annual pass to US National Parks","Unlimited entrance to 2,000+ federal recreation sites. Valid for 12 months from purchase.",moderate,"travel,outdoor,experiences","birthday,christmas,retirement","outdoor enthusiasts,travelers,nature lovers",https://www.nps.gov/planyourvisit/passes.htm,true,0.81
JBL Portable Speaker,"Waterproof Bluetooth speaker","Powerful bass with IP67 waterproof rating. 12-hour battery. Pairs with multiple speakers.",moderate,"electronics,audio,outdoor","birthday,graduation,christmas","music lovers,partygoers,outdoor enthusiasts",https://www.jbl.com/portable-speakers,true,0.83
Artifact Uprising Photo Book,"Premium custom photo album","Lay-flat pages with archival-quality paper. Library binding. Design online with easy editor.",premium,"photos,gifts,memories","wedding,baby shower,anniversary","couples,new parents,memory keepers",https://www.artifactuprising.com,true,0.78
Rumpl Puffy Blanket,"Packable outdoor blanket","Made from recycled materials. Water-resistant and machine washable. Packs into attached stuff sack.",moderate,"outdoor,camping,home","birthday,christmas,housewarming","campers,outdoor enthusiasts,couch sitters",https://www.rumpl.com,true,0.77
